,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,46.3336
2016-05-31,47.9363
2016-06-30,47.8682
2016-07-29,48.4465
2016-08-31,49.0728
2016-09-30,49.2520
2016-10-31,48.9391
2016-11-30,47.3402
2016-12-30,49.7258
2017-01-31,51.0851
2017-02-28,49.3485
2017-03-31,48.6147
2017-04-28,47.2179
2017-05-31,48.8177
2017-06-30,46.4737
2017-07-31,49.3733
2017-08-31,49.4296
2017-09-29,46.1073
2017-10-31,45.1043
2017-11-30,45.0356
2017-12-29,43.0017
2018-01-31,43.6688
2018-02-28,41.9656
2018-03-30,0
2018-04-30,38.7159
2018-05-31,38.5445
2018-06-29,40.4825
2018-07-31,39.5818
2018-08-31,37.7367
2018-09-28,36.2006
2018-10-31,34.9902
2018-11-30,37.2328
2018-12-31,35.6321
2019-01-31,39.4399
2019-02-28,36.8061
2019-03-29,36.6928
2019-04-30,36.2925
2019-05-31,36.6599
2019-06-28,39.0433
2019-07-31,40.7542
2019-08-30,38.1491
2019-09-30,39.1542
2019-10-31,40.1253
2019-11-29,40.3428
2019-12-31,46.6011
2020-01-31,44.8713
2020-02-28,43.2228
2020-03-31,45.3692
2020-04-30,47.7520
2020-05-29,50.6587
2020-06-30,50.0411
2020-07-31,53.4318
2020-08-31,52.1747
2020-09-30,51.4766
2020-10-30,52.3684
2020-11-30,55.5741
2020-12-31,58.5570
2021-01-29,55.4688
2021-02-26,56.0213
2021-03-31,57.2694
2021-04-30,56.5279
2021-05-31,0
2021-06-30,55.6403
2021-07-30,54.5762
2021-08-31,54.3246
2021-09-30,52.7996
2021-10-29,53.6402
2021-11-30,50.4682
2021-12-31,48.8401
2022-01-31,46.7819
2022-02-28,49.5745
2022-03-31,51.3499
