,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,2.7402
2010-02-26,5.1654
2010-03-31,-5.5276
2010-04-30,0.1072
2010-05-31,0
2010-06-30,6.1790
2010-07-30,4.9117
2010-08-31,-5.9500
2010-09-30,-5.2996
2010-10-29,4.2308
2010-11-30,7.5311
2010-12-31,22.0630
2011-01-31,15.1072
2011-02-28,4.7264
2011-03-31,-4.4062
2011-04-29,-2.8926
2011-05-31,9.2397
2011-06-30,3.4668
2011-07-29,-0.8929
2011-08-31,3.7213
2011-09-30,-1.0811
2011-10-31,5.9373
2011-11-30,17.3939
2011-12-30,17.1679
2012-01-31,11.8994
2012-02-29,12.2581
2012-03-30,20.4977
2012-04-30,24.0182
2012-05-31,9.3607
2012-06-29,4.3865
2012-07-31,2.4883
2012-08-31,3.0367
2012-09-28,-4.5509
2012-10-31,7.8936
2012-11-30,3.1884
2012-12-31,8.4007
2013-01-31,11.2321
2013-02-28,17.3154
2013-03-29,0
2013-04-30,10.0162
2013-05-31,-0.8763
2013-06-28,-0.4668
2013-07-31,6.4505
2013-08-30,6.1092
2013-09-30,6.0918
2013-10-31,8.1439
2013-11-29,3.2263
2013-12-31,1.0766
2014-01-31,-6.5418
2014-02-28,-2.5765
2014-03-31,-7.9238
2014-04-30,-4.2848
2014-05-30,-4.6860
2014-06-30,-1.2016
