,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,5.8032
2010-12-31,67.8428
2011-01-31,88.7706
2011-02-28,140.9502
2011-03-31,36.1427
2011-04-29,22.8393
2011-05-31,-7.2195
2011-06-30,-16.4426
2011-07-29,-37.8183
2011-08-31,-38.7133
2011-09-30,-46.7973
2011-10-31,20.4424
2011-11-30,6.2893
2011-12-30,2.8782
2012-01-31,23.0012
2012-02-29,45.1566
2012-03-30,64.5640
2012-04-30,17.2070
2012-05-31,-6.3650
2012-06-29,-8.9020
2012-07-31,-7.3041
2012-08-31,17.3038
2012-09-28,8.0812
2012-10-31,8.7892
2012-11-30,6.6202
2012-12-31,5.1122
2013-01-31,16.7770
2013-02-28,32.0261
2013-03-29,0
2013-04-30,-10.4356
2013-05-31,-4.1628
2013-06-28,10.0000
2013-07-31,15.7391
2013-08-30,23.4884
2013-09-30,15.0232
2013-10-31,19.4783
2013-11-29,9.0023
2013-12-31,18.7742
2014-01-31,13.8317
2014-02-28,31.4399
2014-03-31,33.9026
2014-04-30,30.1179
2014-05-30,7.8499
2014-06-30,6.8971
2014-07-31,2.9898
2014-08-29,8.0757
2014-09-30,2.2717
