,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,-11.8900
2016-03-31,-7.6200
2016-04-29,-8.0400
2016-05-31,-7.7400
2016-06-30,-5.0100
2016-07-29,-1.5400
2016-08-31,4.7700
2016-09-30,4.7700
2016-10-31,5.9800
2016-11-30,4.3600
2016-12-30,2.5100
2017-01-31,3.8400
2017-02-28,3.8400
2017-03-31,0.8400
2017-04-28,0.6000
2017-05-31,-1.0400
2017-06-30,1.3100
2017-07-31,-0.7400
2017-08-31,4.7000
2017-09-29,4.6400
2017-10-31,3.9300
2017-11-30,3.1300
2017-12-29,10.0700
2018-01-31,8.2300
2018-02-28,14.0500
2018-03-30,0
2018-04-30,14.7600
2018-05-31,16.1500
2018-06-29,24.4000
2018-07-31,24.6600
2018-08-31,32.1000
2018-09-28,31.1700
2018-10-31,22.7800
2018-11-30,34.2300
2018-12-31,19.1900
2019-01-31,25.2600
2019-02-28,41.2600
2019-03-29,34.0000
2019-04-30,24.3000
2019-05-31,17.1200
2019-06-28,11.9700
2019-07-31,28.0300
2019-08-30,2.0800
2019-09-30,-0.9300
2019-10-31,-10.0400
2019-11-29,-10.6700
2019-12-31,-25.2500
2020-01-31,-17.4700
2020-02-28,-1.0100
2020-03-31,-29.3600
2020-04-30,0.6600
2020-05-29,25.2400
2020-06-30,49.3700
2020-07-31,58.3600
2020-08-31,79.0200
2020-09-30,79.3400
2020-10-30,70.6900
2020-11-30,107.5400
2020-12-31,138.6600
2021-01-29,142.3700
2021-02-26,141.2500
2021-03-31,117.7600
2021-04-30,96.8200
2021-05-31,0
2021-06-30,93.2900
2021-07-30,30.3100
2021-08-31,89.2300
2021-09-30,37.9900
2021-10-29,39.1700
2021-11-30,46.2600
2021-12-31,9.4300
2022-01-31,-62.9100
2022-02-28,-1.7000
2022-03-31,-43.0900
