,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,8.4565
2011-03-31,10.0533
2011-04-29,12.9073
2011-05-31,11.8787
2011-06-30,7.8217
2011-07-29,5.7716
2011-08-31,3.3369
2011-09-30,-3.2674
2011-10-31,-1.5978
2011-11-30,0.3264
2011-12-30,-0.4630
2012-01-31,4.5720
2012-02-29,4.9136
2012-03-30,5.9098
2012-04-30,5.1032
2012-05-31,5.8202
2012-06-29,6.5627
2012-07-31,11.3053
2012-08-31,10.7014
2012-09-28,11.2999
2012-10-31,8.4856
2012-11-30,5.3125
2012-12-31,10.9299
2013-01-31,13.5135
2013-02-28,12.8779
2013-03-29,0
2013-04-30,14.2985
2013-05-31,13.9720
2013-06-28,12.4002
2013-07-31,13.1083
2013-08-30,14.3192
2013-09-30,12.2146
2013-10-31,9.2154
2013-11-29,10.7402
2013-12-31,10.8393
2014-01-31,14.4488
2014-02-28,15.3968
2014-03-31,14.4711
2014-04-30,14.5065
2014-05-30,19.3305
2014-06-30,18.0861
2014-07-31,19.7675
2014-08-29,25.4066
2014-09-30,20.8342
2014-10-31,6.8513
