,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,18.0000
2014-01-31,3.7500
2014-02-28,5.7000
2014-03-31,3.3000
2014-04-30,6.6000
2014-05-30,3.3000
2014-06-30,2.8485
2014-07-31,-2.1000
2014-08-29,-11.5500
2014-09-30,-36.4515
2014-10-31,-45.7500
2014-11-28,-60.9000
2014-12-31,-89.8500
2015-01-30,-91.2000
2015-02-27,-98.8500
2015-03-31,-90.9000
2015-04-30,-60.6000
2015-05-29,-87.7500
2015-06-30,-72.0000
2015-07-31,-59.5500
2015-08-31,-45.4500
2015-09-30,-1.5000
2015-10-30,-2.2500
2015-11-30,-9.1500
2015-12-31,-6.3000
2016-01-29,-116.2500
2016-02-29,-60.1620
2016-03-31,-53.5500
2016-04-29,-40.7355
2016-05-31,-49.5870
2016-06-30,-56.5350
2016-07-29,-58.9725
2016-08-31,-53.7090
2016-09-30,-34.0500
2016-10-31,-14.2515
2016-11-30,-1.7865
2016-12-30,-1.8000
2017-01-31,-3.1350
2017-02-28,4.5070
2017-03-31,3.0225
2017-04-28,0.5635
2017-05-31,-3.4085
2017-06-30,-3.7700
2017-07-31,-3.5100
2017-08-31,-3.9000
2017-09-29,-2.7675
2017-10-31,-1.8915
2017-11-30,-2.9800
2017-12-29,-0.8700
2018-01-31,-0.2500
2018-02-28,-0.6180
2018-03-30,0
2018-04-30,1.8200
2018-05-31,3.2000
2018-06-29,2.4600
2018-07-31,2.3100
2018-08-31,-0.9011
2018-09-28,-0.1400
2018-10-31,-1.0200
2018-11-30,-1.6010
2018-12-31,-4.2906
2019-01-31,-1.3700
2019-02-28,-1.3600
2019-03-29,-1.4600
2019-04-30,-0.8900
2019-05-31,-0.6243
2019-06-28,-1.0900
2019-07-31,-1.0100
2019-08-30,-1.5900
2019-09-30,-1.7000
2019-10-31,-1.6773
2019-11-29,-1.4315
2019-12-31,-1.7415
2020-01-31,-2.1900
2020-02-28,-2.0100
2020-03-31,-0.8900
2020-04-30,-1.0492
2020-05-29,-0.6667
2020-06-30,-0.2300
2020-07-31,0.1100
2020-08-31,0.0677
2020-09-30,-0.1954
2020-10-30,-0.1000
2020-11-30,0.6200
2020-12-31,1.6300
2021-01-29,2.2200
2021-02-26,2.1236
2021-03-31,0.7100
2021-04-30,0.4400
2021-05-31,0
2021-06-30,1.8500
2021-07-30,1.2200
2021-08-31,2.0500
2021-09-30,0.3400
2021-10-29,-0.3900
2021-11-30,-2.4700
2021-12-31,-1.6900
2022-01-31,-1.0200
2022-02-28,-1.0200
2022-03-31,-0.8400
