,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,2.8418
2016-05-31,7.3769
2016-06-30,11.9542
2016-07-29,11.8452
2016-08-31,16.2720
2016-09-30,15.3423
2016-10-31,16.6202
2016-11-30,7.4889
2016-12-30,8.6319
2017-01-31,10.1582
2017-02-28,5.4950
2017-03-31,6.1258
2017-04-28,2.5334
2017-05-31,4.0444
2017-06-30,-0.2060
2017-07-31,1.6757
2017-08-31,2.3084
2017-09-29,-4.5772
2017-10-31,-7.1104
2017-11-30,-5.8458
2017-12-29,-10.5867
2018-01-31,-9.1275
2018-02-28,-16.2560
2018-03-30,0
2018-04-30,-21.6948
2018-05-31,-22.0224
2018-06-29,-13.9732
2018-07-31,-13.0716
2018-08-31,-15.2032
2018-09-28,-18.0047
2018-10-31,-19.0328
2018-11-30,-15.7600
2018-12-31,-17.2154
2019-01-31,-9.4524
2019-02-28,-20.4661
2019-03-29,-21.8302
2019-04-30,-24.2435
2019-05-31,-25.0813
2019-06-28,-21.3649
2019-07-31,-17.2170
2019-08-30,-22.3933
2019-09-30,-16.2067
2019-10-31,-11.1111
2019-11-29,-12.8065
2019-12-31,1.3018
2020-01-31,-2.1933
2020-02-28,-5.5046
2020-03-31,-3.7857
2020-04-30,1.3186
2020-05-29,5.6131
2020-06-30,3.6562
2020-07-31,7.5219
2020-08-31,3.3634
2020-09-30,-0.2642
2020-10-30,0.2192
2020-11-30,7.1509
2020-12-31,11.2201
2021-01-29,6.1409
2021-02-26,7.6477
2021-03-31,8.5845
2021-04-30,8.8668
2021-05-31,0
2021-06-30,9.5842
2021-07-30,6.8430
2021-08-31,6.0583
2021-09-30,3.3617
2021-10-29,4.6722
2021-11-30,-0.2970
2021-12-31,-1.8123
2022-01-31,-3.8863
2022-02-28,-3.2060
2022-03-31,-1.1614
