,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,8.9325
2010-10-29,9.3585
2010-11-30,10.0876
2010-12-31,10.9287
2011-01-31,11.8794
2011-02-28,12.9932
2011-03-31,14.5150
2011-04-29,15.7416
2011-05-31,17.2854
2011-06-30,18.8521
2011-07-29,20.0862
2011-08-31,20.6024
2011-09-30,20.7798
2011-10-31,21.0100
2011-11-30,21.5193
2011-12-30,21.7009
2012-01-31,21.7729
2012-02-29,22.1718
2012-03-30,22.5488
2012-04-30,22.6550
2012-05-31,22.9572
2012-06-29,23.2997
2012-07-31,23.8598
2012-08-31,24.2035
2012-09-28,24.4644
2012-10-31,24.5753
2012-11-30,24.0542
2012-12-31,23.4383
2013-01-31,22.6433
2013-02-28,22.4016
2013-03-29,0
2013-04-30,22.2761
2013-05-31,21.7241
2013-06-28,20.9196
2013-07-31,20.2891
2013-08-30,20.3088
2013-09-30,20.4345
2013-10-31,20.4709
2013-11-29,20.2498
2013-12-31,19.6082
2014-01-31,19.5030
2014-02-28,19.8937
2014-03-31,20.3405
2014-04-30,20.7490
2014-05-30,20.8208
2014-06-30,21.1991
2014-07-31,21.6061
2014-08-29,22.1405
2014-09-30,22.9125
