,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,57.2524
2016-05-31,57.7999
2016-06-30,59.0041
2016-07-29,60.3516
2016-08-31,61.7169
2016-09-30,63.2170
2016-10-31,64.6326
2016-11-30,65.5892
2016-12-30,66.4742
2017-01-31,67.3934
2017-02-28,68.2940
2017-03-31,69.1390
2017-04-28,69.6108
2017-05-31,70.0219
2017-06-30,70.3207
2017-07-31,70.2392
2017-08-31,70.2641
2017-09-29,70.2391
2017-10-31,69.5671
2017-11-30,68.9036
2017-12-29,68.0386
2018-01-31,67.1133
2018-02-28,65.7959
2018-03-30,0
2018-04-30,61.4776
2018-05-31,59.0778
2018-06-29,57.3495
2018-07-31,56.0813
2018-08-31,54.6100
2018-09-28,52.9841
2018-10-31,51.0362
2018-11-30,49.1540
2018-12-31,47.6567
2019-01-31,46.4685
2019-02-28,45.4998
2019-03-29,43.3676
2019-04-30,40.8699
2019-05-31,38.2917
2019-06-28,36.0016
2019-07-31,33.7788
2019-08-30,31.3274
2019-09-30,29.5091
2019-10-31,27.9361
2019-11-29,26.7506
2019-12-31,26.5451
2020-01-31,26.4922
2020-02-28,26.1903
2020-03-31,25.7124
2020-04-30,25.5967
2020-05-29,25.6463
2020-06-30,26.3650
2020-07-31,27.1003
2020-08-31,27.6995
2020-09-30,27.8328
2020-10-30,27.9360
2020-11-30,28.2694
2020-12-31,29.3562
2021-01-29,30.1740
2021-02-26,30.8153
2021-03-31,31.8013
2021-04-30,32.7568
2021-05-31,0
2021-06-30,34.6777
2021-07-30,35.6907
2021-08-31,36.4236
2021-09-30,36.8853
2021-10-29,37.2680
2021-11-30,37.6599
2021-12-31,37.4646
2022-01-31,37.2638
2022-02-28,36.9010
2022-03-31,36.4876
