,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,4.7179
2007-08-31,-1.6360
2007-09-28,9.6833
2007-10-31,15.2203
2007-11-30,-4.7828
2007-12-31,1.6286
2008-01-31,-7.0880
2008-02-29,-16.5035
2008-03-31,-5.6556
2008-04-30,-0.1209
2008-05-30,-6.8765
2008-06-30,-17.8891
2008-07-31,-1.0059
2008-08-29,-1.3609
2008-09-30,-2.2637
2008-10-31,-10.9997
2008-11-28,-15.2669
2008-12-31,29.4213
2009-01-30,-19.6494
2009-02-27,-22.4265
2009-03-31,16.4974
2009-04-30,25.9924
2009-05-29,29.4778
2009-06-30,-9.7629
2009-07-31,3.3755
2009-08-31,5.8648
2009-09-30,7.7564
2009-10-30,-5.3460
2009-11-30,-2.2050
2009-12-31,2.2571
2010-01-29,-8.5547
2010-02-26,12.3988
2010-03-31,9.6020
2010-04-30,8.8392
2010-05-31,0
2010-06-30,-2.5569
2010-07-30,5.0780
2010-08-31,-7.4716
2010-09-30,-0.8015
2010-10-29,5.9108
2010-11-30,-10.2202
2010-12-31,4.7536
2011-01-31,6.1041
2011-02-28,15.3367
2011-03-31,-2.0754
2011-04-29,13.8755
2011-05-31,-9.8762
2011-06-30,-2.9286
2011-07-29,-2.3636
2011-08-31,-12.6761
2011-09-30,-12.5218
2011-10-31,20.8826
2011-11-30,15.3473
2011-12-30,-5.8060
2012-01-31,1.7625
2012-02-29,12.0858
2012-03-30,2.0248
2012-04-30,-14.1953
2012-05-31,-4.2159
2012-06-29,9.1834
2012-07-31,-0.8560
2012-08-31,0.5620
2012-09-28,0.5545
2012-10-31,0.2429
2012-11-30,-7.0462
2012-12-31,36.8037
2013-01-31,8.4719
2013-02-28,8.2462
2013-03-29,0
2013-04-30,1.0940
2013-05-31,-0.2974
2013-06-28,3.6761
2013-07-31,3.3840
2013-08-30,-3.1959
2013-09-30,1.1528
2013-10-31,2.1583
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
