,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,-9.1985
2010-08-31,-11.2528
2010-09-30,-0.2200
2010-10-29,6.0194
2010-11-30,65.0163
2010-12-31,-17.6816
2011-01-31,-9.5006
2011-02-28,-0.4998
2011-03-31,13.9163
2011-04-29,-0.5405
2011-05-31,9.7996
2011-06-30,1.2865
2011-07-29,-3.2956
2011-08-31,-9.0441
2011-09-30,1.6250
2011-10-31,23.7674
2011-11-30,13.3657
2011-12-30,-12.3926
2012-01-31,1.7857
2012-02-29,14.9295
2012-03-30,9.4007
2012-04-30,-11.0365
2012-05-31,-13.0819
2012-06-29,11.1545
2012-07-31,-9.8026
2012-08-31,4.5838
2012-09-28,3.0623
2012-10-31,-3.5274
2012-11-30,15.6421
2012-12-31,0.1478
2013-01-31,6.0803
2013-02-28,-7.1695
2013-03-29,0
2013-04-30,21.7636
2013-05-31,80.6690
2013-06-28,9.8200
2013-07-31,13.9705
2013-08-30,22.4638
2013-09-30,14.4201
2013-10-31,-7.7145
2013-11-29,-20.4202
2013-12-31,21.1476
2014-01-31,20.8594
2014-02-28,33.8930
2014-03-31,-16.8064
2014-04-30,-4.1849
2014-05-30,0.0193
2014-06-30,17.2741
2014-07-31,-2.6697
