,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,-12.2402
2010-08-31,-23.2661
2010-09-30,-6.5680
2010-10-29,16.5534
2010-11-30,0.8478
2010-12-31,-6.0805
2011-01-31,0.6562
2011-02-28,28.8202
2011-03-31,3.0228
2011-04-29,-7.4215
2011-05-31,-1.8643
2011-06-30,-3.4158
2011-07-29,-6.3415
2011-08-31,10.8829
2011-09-30,-1.0514
2011-10-31,8.6486
2011-11-30,6.7509
2011-12-30,-4.2931
2012-01-31,-1.0441
2012-02-29,8.2063
2012-03-30,2.8965
2012-04-30,-6.9669
2012-05-31,-2.0803
2012-06-29,10.2789
2012-07-31,2.1505
2012-08-31,1.4136
2012-09-28,2.8332
2012-10-31,-0.3045
2012-11-30,-1.7244
2012-12-31,0.7629
2013-01-31,12.4461
2013-02-28,7.3835
2013-03-29,0
2013-04-30,1.8177
2013-05-31,7.4072
2013-06-28,16.1933
2013-07-31,7.2805
2013-08-30,-9.3907
2013-09-30,-1.4382
2013-10-31,5.3972
2013-11-29,8.3148
2013-12-31,-0.9815
2014-01-31,2.0400
2014-02-28,5.4689
2014-03-31,2.1661
2014-04-30,-5.2557
2014-05-30,-4.8634
2014-06-30,-2.0697
2014-07-31,0.0826
