,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,1.2188
2014-03-31,1.1834
2014-04-30,1.0797
2014-05-30,1.1234
2014-06-30,1.1983
2014-07-31,1.3072
2014-08-29,1.2714
2014-09-30,1.2376
2014-10-31,1.1760
2014-11-28,1.1077
2014-12-31,1.1116
2015-01-30,1.1940
2015-02-27,1.3680
2015-03-31,1.2976
2015-04-30,1.1956
2015-05-29,1.2426
2015-06-30,1.2612
2015-07-31,1.4500
2015-08-31,1.3209
2015-09-30,1.2127
2015-10-30,1.0781
2015-11-30,1.0739
2015-12-31,1.0286
2016-01-29,0.9057
2016-02-29,0.9577
2016-03-31,0.9341
2016-04-29,0.9097
2016-05-31,0.9052
2016-06-30,0.8490
2016-07-29,1.1110
2016-08-31,1.1587
2016-09-30,1.1760
2016-10-31,1.1326
2016-11-30,1.2162
2016-12-30,1.1763
2017-01-31,1.1198
2017-02-28,1.1850
2017-03-31,1.2370
2017-04-28,1.1860
2017-05-31,1.1314
2017-06-30,1.1489
2017-07-31,1.1932
2017-08-31,1.2489
2017-09-29,1.1986
2017-10-31,1.4077
2017-11-30,1.3103
2017-12-29,1.2175
2018-01-31,1.2857
2018-02-28,1.1863
2018-03-30,0
2018-04-30,1.0733
2018-05-31,1.0993
2018-06-29,1.0337
2018-07-31,1.2386
2018-08-31,1.2282
2018-09-28,1.2763
2018-10-31,1.2266
2018-11-30,1.2314
2018-12-31,1.1028
2019-01-31,1.3159
2019-02-28,1.3599
2019-03-29,1.3707
2019-04-30,1.2993
2019-05-31,1.1246
2019-06-28,1.2873
2019-07-31,1.2985
2019-08-30,1.2810
2019-09-30,1.2210
2019-10-31,1.1578
2019-11-29,1.0344
2019-12-31,1.0799
2020-01-31,1.1391
2020-02-28,1.0367
2020-03-31,0.7633
2020-04-30,0.9107
2020-05-29,0.9519
2020-06-30,0.9374
2020-07-31,1.0807
2020-08-31,1.1406
2020-09-30,1.0882
2020-10-30,0.9566
2020-11-30,1.0284
2020-12-31,1.9934
2021-01-29,1.4336
2021-02-26,1.4302
2021-03-31,1.3838
2021-04-30,1.5403
2021-05-31,0
2021-06-30,1.4990
2021-07-30,1.4869
2021-08-31,1.5479
2021-09-30,1.4318
2021-10-29,1.3897
2021-11-30,1.3603
2021-12-31,1.5128
2022-01-31,1.1361
2022-02-28,1.0020
2022-03-31,0.9467
