,ROCR_daily_200
2012-05-31,1.1697
2012-06-29,1.3149
2012-07-31,1.2117
2012-08-31,1.2286
2012-09-28,1.3677
2012-10-31,1.1904
2012-11-30,1.2829
2012-12-31,1.3549
2013-01-31,1.4428
2013-02-28,1.5191
2013-03-29,0
2013-04-30,1.5962
2013-05-31,1.3909
2013-06-28,1.3639
2013-07-31,1.3951
2013-08-30,1.3850
2013-09-30,1.4136
2013-10-31,1.4192
2013-11-29,1.2492
2013-12-31,1.2575
2014-01-31,1.0704
2014-02-28,1.1164
2014-03-31,1.1440
2014-04-30,1.0973
2014-05-30,1.1273
2014-06-30,1.1824
2014-07-31,1.2897
2014-08-29,1.2241
2014-09-30,1.2075
2014-10-31,1.2930
2014-11-28,1.3978
2014-12-31,1.3419
2015-01-30,1.3000
2015-02-27,1.2546
2015-03-31,1.2600
2015-04-30,1.2033
2015-05-29,1.1756
2015-06-30,1.1519
2015-07-31,1.2616
2015-08-31,0.9310
2015-09-30,0.8483
2015-10-30,0.9262
2015-11-30,0.8496
2015-12-31,0.7520
2016-01-29,0.8410
2016-02-29,0.8096
2016-03-31,0.8552
2016-04-29,0.8437
2016-05-31,0.9779
2016-06-30,1.0681
2016-07-29,1.0704
2016-08-31,1.1456
2016-09-30,1.2507
2016-10-31,1.2989
2016-11-30,1.4493
2016-12-30,1.3549
2017-01-31,1.3194
2017-02-28,1.3638
2017-03-31,1.3590
2017-04-28,1.2892
2017-05-31,1.2570
2017-06-30,1.3340
2017-07-31,1.3030
2017-08-31,1.1841
2017-09-29,1.0954
2017-10-31,1.0528
2017-11-30,0.9654
2017-12-29,0.9401
2018-01-31,0.9772
2018-02-28,0.9572
2018-03-30,0
2018-04-30,0.9683
2018-05-31,0.9320
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
