,ROCR_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,1.9379
2011-03-31,2.2421
2011-04-29,2.7184
2011-05-31,2.4366
2011-06-30,1.7907
2011-07-29,1.4664
2011-08-31,1.2629
2011-09-30,0.7757
2011-10-31,0.9049
2011-11-30,1.0190
2011-12-30,0.9741
2012-01-31,1.2465
2012-02-29,1.2693
2012-03-30,1.3350
2012-04-30,1.2926
2012-05-31,1.3707
2012-06-29,1.4262
2012-07-31,1.8710
2012-08-31,1.6625
2012-09-28,1.6606
2012-10-31,1.4066
2012-11-30,1.2220
2012-12-31,1.4828
2013-01-31,1.5683
2013-02-28,1.5899
2013-03-29,0
2013-04-30,1.6607
2013-05-31,1.5419
2013-06-28,1.4572
2013-07-31,1.4702
2013-08-30,1.5202
2013-09-30,1.3845
2013-10-31,1.2590
2013-11-29,1.2986
2013-12-31,1.2872
2014-01-31,1.4350
2014-02-28,1.4023
2014-03-31,1.3643
2014-04-30,1.3431
2014-05-30,1.4624
2014-06-30,1.4320
2014-07-31,1.4348
2014-08-29,1.5616
2014-09-30,1.4500
2014-10-31,1.1377
2014-11-28,0.9731
