,ROCR_daily_200
2012-05-31,1.1318
2012-06-29,1.0880
2012-07-31,0.9944
2012-08-31,0.9196
2012-09-28,1.0360
2012-10-31,1.0875
2012-11-30,1.2216
2012-12-31,1.3602
2013-01-31,1.3201
2013-02-28,1.3799
2013-03-29,0
2013-04-30,1.5652
2013-05-31,1.7360
2013-06-28,1.6631
2013-07-31,1.7745
2013-08-30,1.5193
2013-09-30,1.7116
2013-10-31,1.6413
2013-11-29,1.7460
2013-12-31,1.8373
2014-01-31,1.5193
2014-02-28,1.4516
2014-03-31,1.3614
2014-04-30,1.3149
2014-05-30,1.2227
2014-06-30,1.1848
2014-07-31,1.0532
2014-08-29,1.1303
2014-09-30,1.0356
2014-10-31,1.1415
2014-11-28,1.3432
2014-12-31,1.2804
2015-01-30,1.2859
2015-02-27,1.2872
2015-03-31,1.2029
2015-04-30,1.1953
2015-05-29,1.2088
2015-06-30,0.9163
2015-07-31,0.9658
2015-08-31,0.6372
2015-09-30,0.5754
2015-10-30,0.7705
2015-11-30,0.7611
2015-12-31,0.7446
2016-01-29,0.6453
2016-02-29,0.7161
2016-03-31,0.9096
2016-04-29,0.9536
2016-05-31,1.0559
2016-06-30,1.2101
2016-07-29,1.1809
2016-08-31,1.3281
2016-09-30,1.3049
2016-10-31,1.4259
2016-11-30,1.3967
2016-12-30,1.1282
2017-01-31,1.2071
2017-02-28,1.2331
2017-03-31,1.2436
2017-04-28,1.2808
2017-05-31,1.1719
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
