,ROCR_daily_200
2012-05-31,1.0975
2012-06-29,1.1723
2012-07-31,1.0758
2012-08-31,1.0321
2012-09-28,1.0803
2012-10-31,1.0700
2012-11-30,1.0386
2012-12-31,1.0259
2013-01-31,1.2589
2013-02-28,1.2308
2013-03-29,0
2013-04-30,1.2452
2013-05-31,1.2176
2013-06-28,1.2123
2013-07-31,1.2116
2013-08-30,1.1851
2013-09-30,1.1742
2013-10-31,1.1234
2013-11-29,0.9778
2013-12-31,1.0019
2014-01-31,0.9804
2014-02-28,0.9695
2014-03-31,1.0148
2014-04-30,1.0388
2014-05-30,1.0221
2014-06-30,1.1524
2014-07-31,0.9814
2014-08-29,1.0717
2014-09-30,1.0167
2014-10-31,1.0843
2014-11-28,1.0400
2014-12-31,1.0807
2015-01-30,1.1532
2015-02-27,1.0344
2015-03-31,1.0232
2015-04-30,1.0098
2015-05-29,1.0560
2015-06-30,0.9429
2015-07-31,1.0059
2015-08-31,0.8298
2015-09-30,0.8214
2015-10-30,0.8341
2015-11-30,0.8185
2015-12-31,0.8419
2016-01-29,0.8861
2016-02-29,1.1343
2016-03-31,1.2066
2016-04-29,1.1955
2016-05-31,1.2127
2016-06-30,1.3868
2016-07-29,1.2620
2016-08-31,1.4122
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
