,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,32.8805
2007-06-29,34.0560
2007-07-31,36.9460
2007-08-31,27.8180
2007-09-28,26.7190
2007-10-31,22.8400
2007-11-30,17.7990
2007-12-31,18.2495
2008-01-31,17.3285
2008-02-29,16.2400
2008-03-31,16.0675
2008-04-30,19.3215
2008-05-30,20.5180
2008-06-30,19.4635
2008-07-31,15.7530
2008-08-29,17.1985
2008-09-30,16.0715
2008-10-31,13.9555
2008-11-28,12.6660
2008-12-31,14.9810
2009-01-30,14.7975
2009-02-27,13.8270
2009-03-31,16.3665
2009-04-30,16.8490
2009-05-29,17.2165
2009-06-30,14.3720
2009-07-31,12.6030
2009-08-31,8.8585
2009-09-30,9.3095
2009-10-30,7.2665
2009-11-30,6.2140
2009-12-31,7.2570
2010-01-29,6.5525
2010-02-26,6.0540
2010-03-31,6.8330
2010-04-30,7.5450
2010-05-31,0
2010-06-30,8.6755
2010-07-30,8.9805
2010-08-31,8.9240
2010-09-30,9.8715
2010-10-29,10.6815
2010-11-30,11.8735
2010-12-31,12.4880
2011-01-31,13.1445
2011-02-28,13.1925
2011-03-31,15.3030
2011-04-29,16.6210
2011-05-31,17.9415
2011-06-30,16.6435
2011-07-29,17.0435
2011-08-31,10.3645
2011-09-30,9.8252
2011-10-31,8.8335
2011-11-30,8.3570
2011-12-30,8.3640
2012-01-31,8.6020
2012-02-29,10.2055
2012-03-30,9.7525
2012-04-30,8.2245
2012-05-31,6.6185
2012-06-29,5.9435
2012-07-31,6.9065
2012-08-31,9.4735
2012-09-28,10.7240
2012-10-31,11.5705
2012-11-30,10.3510
2012-12-31,10.0560
2013-01-31,9.5990
2013-02-28,9.9805
2013-03-29,0
2013-04-30,11.4045
2013-05-31,11.8400
2013-06-28,11.8400
2013-07-31,11.8400
2013-08-30,11.8400
2013-09-30,11.8400
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
