,SMA_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,6.9679
2016-02-29,6.8405
2016-03-31,7.1449
2016-04-29,7.8775
2016-05-31,8.4049
2016-06-30,8.6995
2016-07-29,9.1155
2016-08-31,10.0556
2016-09-30,10.6885
2016-10-31,10.9985
2016-11-30,11.2278
2016-12-30,11.5055
2017-01-31,11.6674
2017-02-28,11.7662
2017-03-31,11.5933
2017-04-28,11.8351
2017-05-31,12.1027
2017-06-30,12.0258
2017-07-31,11.7928
2017-08-31,11.5792
2017-09-29,11.8373
2017-10-31,12.1704
2017-11-30,12.1351
2017-12-29,12.2934
2018-01-31,12.7453
2018-02-28,13.5729
2018-03-30,0
2018-04-30,15.2799
2018-05-31,15.2860
2018-06-29,14.4833
2018-07-31,13.9348
2018-08-31,13.8160
2018-09-28,14.1793
2018-10-31,14.2133
2018-11-30,13.9491
2018-12-31,13.2306
2019-01-31,12.9690
2019-02-28,13.2278
2019-03-29,13.8158
2019-04-30,14.3576
2019-05-31,13.9475
2019-06-28,13.6280
2019-07-31,13.2153
2019-08-30,12.8258
2019-09-30,12.8596
2019-10-31,13.1856
2019-11-29,14.3391
2019-12-31,14.7136
2020-01-31,14.6620
2020-02-28,13.9045
2020-03-31,11.9941
2020-04-30,10.3057
2020-05-29,9.0061
2020-06-30,9.1779
2020-07-31,9.1597
2020-08-31,9.1640
2020-09-30,9.0227
2020-10-30,8.9785
2020-11-30,9.1802
2020-12-31,10.0888
2021-01-29,10.9889
2021-02-26,12.1046
2021-03-31,13.3878
2021-04-30,14.6677
2021-05-31,0
2021-06-30,15.3289
2021-07-30,14.7859
2021-08-31,14.3763
2021-09-30,14.1258
2021-10-29,14.4028
2021-11-30,14.4227
2021-12-31,14.9027
2022-01-31,15.4791
2022-02-28,16.1565
2022-03-31,16.6869
