,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,17.3385
2011-04-29,40.2054
2011-05-31,44.6474
2011-06-30,40.2625
2011-07-29,43.9803
2011-08-31,6.0896
2011-09-30,-25.7404
2011-10-31,-6.8897
2011-11-30,-15.6263
2011-12-30,-24.5763
2012-01-31,-24.2105
2012-02-29,-15.3048
2012-03-30,-22.0557
2012-04-30,-22.7416
2012-05-31,-28.6457
2012-06-29,-9.8484
2012-07-31,2.4153
2012-08-31,-16.3459
2012-09-28,6.4344
2012-10-31,8.0386
2012-11-30,-9.0276
2012-12-31,-0.9842
2013-01-31,3.5059
2013-02-28,3.3829
2013-03-29,0
2013-04-30,1.3119
2013-05-31,1.7587
2013-06-28,-6.0766
2013-07-31,-3.9766
2013-08-30,-1.5558
2013-09-30,-7.3851
2013-10-31,11.3565
2013-11-29,7.6646
2013-12-31,-4.6537
2014-01-31,7.2471
2014-02-28,-1.5748
2014-03-31,-0.1126
2014-04-30,5.4136
2014-05-30,10.3831
2014-06-30,20.0994
2014-07-31,11.4503
2014-08-29,11.2212
2014-09-30,4.0044
