,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,28.2895
2010-10-29,16.4876
2010-11-30,42.5966
2010-12-31,21.5135
2011-01-31,-2.7622
2011-02-28,-4.0421
2011-03-31,3.4653
2011-04-29,9.3624
2011-05-31,21.9402
2011-06-30,23.3710
2011-07-29,7.5923
2011-08-31,26.7313
2011-09-30,23.7627
2011-10-31,34.6232
2011-11-30,50.6498
2011-12-30,38.2857
2012-01-31,35.4849
2012-02-29,25.9659
2012-03-30,38.4892
2012-04-30,42.2662
2012-05-31,51.9416
2012-06-29,46.9603
2012-07-31,31.3675
2012-08-31,26.7560
2012-09-28,24.3426
2012-10-31,18.5854
2012-11-30,17.6747
2012-12-31,-0.8322
2013-01-31,-0.1728
2013-02-28,-1.2993
2013-03-29,0
2013-04-30,-5.1529
2013-05-31,1.9896
2013-06-28,2.9814
2013-07-31,8.3432
2013-08-30,15.8155
2013-09-30,27.1908
2013-10-31,29.4645
2013-11-29,26.4490
2013-12-31,25.3793
2014-01-31,8.5164
2014-02-28,13.4685
2014-03-31,8.3594
2014-04-30,4.5960
2014-05-30,-1.5018
2014-06-30,0.3850
2014-07-31,-3.1902
2014-08-29,9.4407
2014-09-30,1.0751
