,ROCR_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0.8684
2016-06-30,1.0637
2016-07-29,0.9808
2016-08-31,1.0108
2016-09-30,0.9485
2016-10-31,0.7595
2016-11-30,1.0106
2016-12-30,0.9988
2017-01-31,0.7636
2017-02-28,0.7397
2017-03-31,0.9818
2017-04-28,1.0566
2017-05-31,0.9519
2017-06-30,1.0769
2017-07-31,0.8983
2017-08-31,0.9241
2017-09-29,0.9947
2017-10-31,0.7556
2017-11-30,1.0567
2017-12-29,1.1165
2018-01-31,0.9198
2018-02-28,1.1586
2018-03-30,0
2018-04-30,1.0972
2018-05-31,1.1558
2018-06-29,1.0905
2018-07-31,0.8861
2018-08-31,1.0321
2018-09-28,1.0221
2018-10-31,1.0520
2018-11-30,1.0578
2018-12-31,0.7434
2019-01-31,1.1514
2019-02-28,1.0563
2019-03-29,0.9245
2019-04-30,1.0998
2019-05-31,0.9922
2019-06-28,1.0974
2019-07-31,0.9109
2019-08-30,0.8817
2019-09-30,1.0715
2019-10-31,1.0571
2019-11-29,0.9351
2019-12-31,1.1369
2020-01-31,0.9335
2020-02-28,0.6728
2020-03-31,0.6607
2020-04-30,1.2443
2020-05-29,0.8479
2020-06-30,1.0511
2020-07-31,1.0933
2020-08-31,1.0068
2020-09-30,1.0731
2020-10-30,1.1603
2020-11-30,1.1897
2020-12-31,1.0255
2021-01-29,0.9927
2021-02-26,1.1997
2021-03-31,0.9580
2021-04-30,1.0898
2021-05-31,0
2021-06-30,0.9499
2021-07-30,0.9319
2021-08-31,1.0437
2021-09-30,0.8652
2021-10-29,1.0454
2021-11-30,1.0547
2021-12-31,0.9038
2022-01-31,0.8864
2022-02-28,1.0039
2022-03-31,1.0514
