,ROCR_daily_20
2018-06-29,0.9000
2018-07-31,0.9876
2018-08-31,1.1173
2018-09-28,1.0891
2018-10-31,0.9469
2018-11-30,1.1277
2018-12-31,0.6972
2019-01-31,1.4904
2019-02-28,1.6349
2019-03-29,0.9187
2019-04-30,1.0816
2019-05-31,1.3333
2019-06-28,1.0319
2019-07-31,1.0897
2019-08-30,1.0023
2019-09-30,1.0115
2019-10-31,0.9931
2019-11-29,1.0699
2019-12-31,1.2163
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
