,ROCR_daily_20
2012-06-29,0.9715
2012-07-31,0.8533
2012-08-31,1.1239
2012-09-28,0.9847
2012-10-31,1.0373
2012-11-30,1.3919
2012-12-31,1.1274
2013-01-31,1.0469
2013-02-28,1.0716
2013-03-29,0
2013-04-30,0.9964
2013-05-31,1.2752
2013-06-28,1.0286
2013-07-31,1.0632
2013-08-30,1.1050
2013-09-30,0.8728
2013-10-31,0.8281
2013-11-29,1.0728
2013-12-31,1.1099
2014-01-31,1.0888
2014-02-28,1.3870
2014-03-31,0.9604
2014-04-30,0.8554
2014-05-30,1.2206
2014-06-30,1.0941
2014-07-31,0.9607
2014-08-29,1.1132
2014-09-30,0.9762
2014-10-31,1.1408
2014-11-28,0.9477
2014-12-31,0.9605
2015-01-30,0.9276
2015-02-27,0.9969
2015-03-31,0.8605
2015-04-30,1.0330
2015-05-29,0.7411
2015-06-30,0.9012
2015-07-31,1.0096
2015-08-31,0.7500
2015-09-30,0.9512
2015-10-30,0.9459
2015-11-30,1.0325
2015-12-31,1.7152
2016-01-29,0.9940
2016-02-29,1.0301
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
