,ROCR_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0.8698
2008-07-31,0.9686
2008-08-29,1.1812
2008-09-30,1.0475
2008-10-31,0.9105
2008-11-28,0.7363
2008-12-31,1.0935
2009-01-30,1.0123
2009-02-27,0.8378
2009-03-31,1.2879
2009-04-30,1.1902
2009-05-29,1.0493
2009-06-30,0.9130
2009-07-31,1.1106
2009-08-31,1.0731
2009-09-30,1.1092
2009-10-30,0.9650
2009-11-30,0.9607
2009-12-31,1.0577
2010-01-29,0.9598
2010-02-26,1.1499
2010-03-31,1.1158
2010-04-30,0.9225
2010-05-31,0
2010-06-30,0.9919
2010-07-30,1.0029
2010-08-31,0.9785
2010-09-30,0.9486
2010-10-29,1.0422
2010-11-30,1.0016
2010-12-31,0.9367
2011-01-31,1.0077
2011-02-28,1.0350
2011-03-31,1.0027
2011-04-29,1.0549
2011-05-31,1.0460
2011-06-30,1.0368
2011-07-29,0.9005
2011-08-31,1.0156
2011-09-30,1.0229
2011-10-31,1.0056
2011-11-30,0.9981
2011-12-30,1.0865
2012-01-31,0.9833
2012-02-29,0.9802
2012-03-30,1.0732
2012-04-30,1.0092
2012-05-31,0.9985
2012-06-29,1.0853
2012-07-31,1.0469
2012-08-31,0.9827
2012-09-28,1.0059
2012-10-31,0.9601
2012-11-30,1.0363
2012-12-31,0.9926
2013-01-31,0.9884
2013-02-28,0.9629
2013-03-29,0
2013-04-30,1.0470
2013-05-31,0.9445
2013-06-28,1.0070
2013-07-31,1.0030
2013-08-30,0.9441
2013-09-30,1.0099
2013-10-31,1.0908
2013-11-29,1.0192
2013-12-31,1.0287
2014-01-31,1.0044
2014-02-28,1.0791
2014-03-31,1.0621
2014-04-30,1.0309
2014-05-30,1.0380
2014-06-30,1.0249
2014-07-31,0.9963
2014-08-29,1.0719
2014-09-30,1.0270
2014-10-31,1.0697
2014-11-28,1.0734
2014-12-31,0.9797
2015-01-30,1.0780
2015-02-27,0.9963
2015-03-31,0.9997
2015-04-30,0.9501
2015-05-29,1.0276
2015-06-30,0.9654
2015-07-31,1.0814
2015-08-31,0.9519
2015-09-30,1.0549
2015-10-30,1.1232
2015-11-30,1.0043
2015-12-31,1.0313
2016-01-29,0.9914
2016-02-29,0.9754
2016-03-31,0.9778
2016-04-29,0.9957
2016-05-31,0.9928
2016-06-30,1.0559
2016-07-29,1.0195
2016-08-31,0.9694
2016-09-30,0.9842
2016-10-31,0.9673
2016-11-30,0.9992
2016-12-30,1.0705
2017-01-31,1.0058
2017-02-28,1.0303
2017-03-31,1.0380
2017-04-28,0.9415
2017-05-31,1.0286
2017-06-30,0.9875
2017-07-31,1.0005
2017-08-31,1.0021
2017-09-29,0.9778
2017-10-31,0.9831
2017-11-30,1.0501
2017-12-29,1.0828
2018-01-31,1.2528
2018-02-28,0.9769
2018-03-30,0
2018-04-30,1.0157
2018-05-31,0.9993
2018-06-29,1.0173
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
