,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0.6587
2010-12-31,8.0768
2011-01-31,11.5561
2011-02-28,17.8434
2011-03-31,7.5947
2011-04-29,5.9287
2011-05-31,-2.1194
2011-06-30,-5.0217
2011-07-29,-11.4851
2011-08-31,-9.8239
2011-09-30,-11.8574
2011-10-31,2.9118
2011-11-30,0.9547
2011-12-30,0.4105
2012-01-31,3.7902
2012-02-29,7.3655
2012-03-30,9.9671
2012-04-30,3.6231
2012-05-31,-1.3700
2012-06-29,-2.1672
2012-07-31,-1.6994
2012-08-31,3.2842
2012-09-28,1.7853
2012-10-31,1.8712
2012-11-30,1.4512
2012-12-31,1.2221
2013-01-31,4.1148
2013-02-28,7.4849
2013-03-29,0
2013-04-30,-3.0646
2013-05-31,-1.2793
2013-06-28,2.6923
2013-07-31,4.2389
2013-08-30,6.7498
2013-09-30,4.6399
2013-10-31,6.5588
2013-11-29,3.3510
2013-12-31,6.9312
2014-01-31,5.6089
2014-02-28,12.8408
2014-03-31,14.2156
2014-04-30,13.1749
2014-05-30,4.3153
2014-06-30,4.0766
2014-07-31,1.7280
2014-08-29,4.8881
2014-09-30,1.4512
