,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0.8250
2010-03-31,2.0115
2010-04-30,4.3844
2010-05-31,0
2010-06-30,0.5005
2010-07-30,0.6118
2010-08-31,-1.7797
2010-09-30,1.2050
2010-10-29,-1.2977
2010-11-30,4.4586
2010-12-31,0.8435
2011-01-31,-0.6859
2011-02-28,-3.7634
2011-03-31,0.7508
2011-04-29,4.5976
2011-05-31,6.1178
2011-06-30,1.5387
2011-07-29,-1.1679
2011-08-31,3.8654
2011-09-30,3.3648
2011-10-31,8.2127
2011-11-30,3.8190
2011-12-30,3.1794
2012-01-31,3.1794
2012-02-29,1.8261
2012-03-30,4.4864
2012-04-30,4.7830
2012-05-31,5.7471
2012-06-29,6.9984
2012-07-31,3.1980
2012-08-31,1.9373
2012-09-28,-2.5491
2012-10-31,-3.0404
2012-11-30,-0.6118
2012-12-31,-6.9150
2013-01-31,-1.4368
2013-02-28,-3.3926
2013-03-29,0
2013-04-30,5.3855
2013-05-31,4.2639
2013-06-28,-0.2781
2013-07-31,1.0104
2013-08-30,2.4564
2013-09-30,4.1249
2013-10-31,3.3926
2013-11-29,-0.4079
2013-12-31,1.4368
2014-01-31,-1.1216
2014-02-28,3.3463
2014-03-31,-5.3021
2014-04-30,0.8621
2014-05-30,-5.4968
2014-06-30,0.0463
2014-07-31,-1.5665
