,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,4.0400
2014-10-31,2.2575
2014-11-28,-2.9050
2014-12-31,-5.9800
2015-01-30,-5.6425
2015-02-27,-0.5925
2015-03-31,1.9625
2015-04-30,0.3250
2015-05-29,0.6225
2015-06-30,3.9875
2015-07-31,5.2350
2015-08-31,-0.5750
2015-09-30,-4.6650
2015-10-30,-4.2675
2015-11-30,-0.1100
2015-12-31,2.6150
2016-01-29,-0.4675
2016-02-29,-1.4400
2016-03-31,-3.5750
2016-04-29,1.1675
2016-05-31,2.2600
2016-06-30,-0.1400
2016-07-29,2.1800
2016-08-31,1.2750
2016-09-30,4.7700
2016-10-31,3.2500
2016-11-30,3.4050
2016-12-30,2.9500
2017-01-31,2.7725
2017-02-28,6.0450
2017-03-31,7.6350
2017-04-28,11.3400
2017-05-31,6.9875
2017-06-30,3.9475
2017-07-31,2.2725
2017-08-31,5.0250
2017-09-29,11.0450
2017-10-31,6.5350
2017-11-30,15.0975
2017-12-29,11.2250
2018-01-31,23.6625
2018-02-28,9.1550
2018-03-30,0
2018-04-30,-2.6125
2018-05-31,-9.2600
2018-06-29,-1.3125
2018-07-31,2.6700
2018-08-31,7.0200
2018-09-28,1.9875
2018-10-31,-9.6150
2018-11-30,-7.3225
2018-12-31,-12.6825
2019-01-31,-6.5450
2019-02-28,12.2350
2019-03-29,25.9775
2019-04-30,22.9475
2019-05-31,-7.6275
2019-06-28,-15.5325
2019-07-31,0.0350
2019-08-30,-7.6400
2019-09-30,-7.9550
2019-10-31,2.3925
2019-11-29,-10.0625
2019-12-31,-6.2925
2020-01-31,8.0175
2020-02-28,-0.0025
2020-03-31,0.4250
2020-04-30,-3.0050
2020-05-29,7.9575
2020-06-30,3.8475
2020-07-31,12.9400
2020-08-31,-2.9300
2020-09-30,-0.9625
2020-10-30,-6.8700
2020-11-30,13.4700
2020-12-31,20.9425
2021-01-29,22.8600
2021-02-26,2.2850
2021-03-31,4.6825
2021-04-30,-0.3975
2021-05-31,0
2021-06-30,13.6100
2021-07-30,15.9125
2021-08-31,4.2550
2021-09-30,-7.7275
2021-10-29,7.2725
2021-11-30,33.2800
2021-12-31,55.3700
2022-01-31,-4.1400
2022-02-28,1.3400
2022-03-31,0.3200
