,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0.4625
2009-01-30,0.6650
2009-02-27,0.7550
2009-03-31,0.4350
2009-04-30,1.6700
2009-05-29,3.1700
2009-06-30,1.9500
2009-07-31,1.3300
2009-08-31,1.1850
2009-09-30,3.0700
2009-10-30,0.5350
2009-11-30,2.4350
2009-12-31,-0.3200
2010-01-29,1.2200
2010-02-26,-0.7450
2010-03-31,1.3100
2010-04-30,3.4850
2010-05-31,0
2010-06-30,0.5000
2010-07-30,1.3250
2010-08-31,1.8450
2010-09-30,3.3450
2010-10-29,2.5250
2010-11-30,-0.3100
2010-12-31,-0.5900
2011-01-31,-1.5900
2011-02-28,1.0550
2011-03-31,-0.5150
2011-04-29,2.2800
2011-05-31,0.8600
2011-06-30,0.4800
2011-07-29,-1.6300
2011-08-31,1.3300
2011-09-30,-1.5250
2011-10-31,2.8650
2011-11-30,-0.0700
2011-12-30,1.0600
2012-01-31,-0.6000
2012-02-29,3.0000
2012-03-30,4.6900
2012-04-30,5.3700
2012-05-31,1.6050
2012-06-29,1.2250
2012-07-31,-1.3200
2012-08-31,2.3000
2012-09-28,2.8350
2012-10-31,3.1000
2012-11-30,2.1050
2012-12-31,1.2450
2013-01-31,4.2750
2013-02-28,4.1100
2013-03-29,0
2013-04-30,3.3500
2013-05-31,1.7450
2013-06-28,0.0260
2013-07-31,0.7050
2013-08-30,2.0200
2013-09-30,2.3950
2013-10-31,3.6450
2013-11-29,4.8750
2013-12-31,4.3550
2014-01-31,-3.3050
2014-02-28,-1.4950
2014-03-31,-2.7300
