,MOM_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,2.4154
2014-09-30,-1.0735
2014-10-31,1.8959
2014-11-28,1.9219
2014-12-31,0.6060
2015-01-30,0.9609
2015-02-27,0.6233
2015-03-31,-1.5496
2015-04-30,0.6406
2015-05-29,0.9869
2015-06-30,0.2424
2015-07-31,1.0562
2015-08-31,-1.2207
2015-09-30,-0.3549
2015-10-30,-0.9177
2015-11-30,0.9263
2015-12-31,-1.2380
2016-01-29,-1.7401
2016-02-29,-1.2726
2016-03-31,0.3549
2016-04-29,1.0735
2016-05-31,-0.1125
2016-06-30,-5.1943
2016-07-29,2.2509
2016-08-31,0.0786
2016-09-30,0.2087
2016-10-31,0.8785
2016-11-30,5.3576
2016-12-30,1.0486
2017-01-31,-0.3932
2017-02-28,-0.0845
2017-03-31,-1.5348
2017-04-28,-5.8147
2017-05-31,-1.6648
2017-06-30,2.1320
2017-07-31,0.4405
2017-08-31,0.7792
2017-09-29,0.2302
2017-10-31,0.7969
2017-11-30,2.8533
2017-12-29,2.4192
2018-01-31,0.7293
2018-02-28,-2.7562
2018-03-30,0
2018-04-30,0.4554
2018-05-31,1.6600
2018-06-29,-1.4890
2018-07-31,-4.3952
2018-08-31,1.6440
2018-09-28,-0.4787
2018-10-31,-2.6195
2018-11-30,-2.9389
2018-12-31,-2.2853
2019-01-31,5.2534
2019-02-28,2.5226
2019-03-29,-0.5135
2019-04-30,1.9163
2019-05-31,-0.2882
2019-06-28,0.9594
2019-07-31,0.6365
2019-08-30,-2.7942
2019-09-30,1.8937
2019-10-31,2.8963
2019-11-29,2.1075
2019-12-31,-1.0554
2020-01-31,-3.5493
2020-02-28,-3.5746
2020-03-31,-12.0159
2020-04-30,4.9643
2020-05-29,0.7730
2020-06-30,0.0856
2020-07-31,0.4662
2020-08-31,2.0082
2020-09-30,1.2587
2020-10-30,-2.1331
2020-11-30,5.2826
2020-12-31,2.3069
2021-01-29,-0.6203
2021-02-26,2.9264
2021-03-31,0.5265
2021-04-30,2.2426
2021-05-31,0
2021-06-30,-0.9603
2021-07-30,-1.5973
2021-08-31,2.5893
2021-09-30,0.2855
2021-10-29,-3.1899
2021-11-30,-2.5521
2021-12-31,0.7419
2022-01-31,-3.7589
2022-02-28,1.5538
2022-03-31,-4.0558
