,MOM_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,-2.3075
2014-08-29,4.5600
2014-09-30,0.5575
2014-10-31,-1.1200
2014-11-28,0.4950
2014-12-31,-2.1650
2015-01-30,0.5900
2015-02-27,1.4375
2015-03-31,0.2850
2015-04-30,-1.4025
2015-05-29,1.4750
2015-06-30,2.5325
2015-07-31,0.6525
2015-08-31,-2.4600
2015-09-30,-2.6800
2015-10-30,0.4275
2015-11-30,2.2525
2015-12-31,0.6300
2016-01-29,-4.6800
2016-02-29,2.1275
2016-03-31,-0.9000
2016-04-29,1.1200
2016-05-31,1.5550
2016-06-30,-2.6300
2016-07-29,1.7225
2016-08-31,2.0950
2016-09-30,1.3525
2016-10-31,-0.0750
2016-11-30,2.6600
2016-12-30,0.8675
2017-01-31,-0.6925
2017-02-28,6.3300
2017-03-31,3.0750
2017-04-28,1.7075
2017-05-31,1.5475
2017-06-30,-0.6175
2017-07-31,-0.1250
2017-08-31,8.0250
2017-09-29,3.3650
2017-10-31,2.6175
2017-11-30,8.9650
2017-12-29,0.6150
2018-01-31,11.1975
2018-02-28,-1.3725
2018-03-30,0
2018-04-30,2.7600
2018-05-31,-3.4750
2018-06-29,-0.9325
2018-07-31,-1.4075
2018-08-31,10.3600
2018-09-28,-8.0025
2018-10-31,-7.7700
2018-11-30,-0.6200
2018-12-31,-6.4025
2019-01-31,1.0575
2019-02-28,18.7525
2019-03-29,6.9800
2019-04-30,-1.5175
2019-05-31,-16.5650
2019-06-28,3.7575
2019-07-31,2.0375
2019-08-30,-4.3750
2019-09-30,3.0750
2019-10-31,5.0575
2019-11-29,-12.3600
2019-12-31,2.5675
2020-01-31,4.6550
2020-02-28,-9.6550
2020-03-31,2.7000
2020-04-30,6.6325
2020-05-29,3.5400
2020-06-30,-5.1050
2020-07-31,12.3150
2020-08-31,-9.2650
2020-09-30,-4.2925
2020-10-30,1.2500
2020-11-30,15.4500
2020-12-31,4.7475
2021-01-29,4.6500
2021-02-26,-7.3825
2021-03-31,5.7375
2021-04-30,1.7825
2021-05-31,0
2021-06-30,7.0350
2021-07-30,4.2500
2021-08-31,-2.4100
2021-09-30,-3.9850
2021-10-29,14.8025
2021-11-30,21.9175
2021-12-31,20.4700
2022-01-31,-19.4400
2022-02-28,2.5400
2022-03-31,18.6400
