,ROCR_daily_60
2017-01-31,0.9865
2017-02-28,0.9311
2017-03-31,0.9265
2017-04-28,0.8876
2017-05-31,0.8530
2017-06-30,0.9662
2017-07-31,1.0138
2017-08-31,1.0406
2017-09-29,1.0126
2017-10-31,0.9835
2017-11-30,1.0397
2017-12-29,1.1666
2018-01-31,1.3127
2018-02-28,1.1576
2018-03-30,0
2018-04-30,0.9693
2018-05-31,1.0165
2018-06-29,1.1161
2018-07-31,1.1316
2018-08-31,1.1263
2018-09-28,1.1882
2018-10-31,1.2282
2018-11-30,1.1246
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
